id,community,address,building,unit,areaSqm,roomType,bedrooms,livingRooms,bathrooms,floorLevel,floorTotal,floorBand,orientation,decoration,buildYear,buildingAgeYears,propertyType,totalPriceWan,unitPriceWanPerSqm,communityRefPriceWanPerSqm,priceVsRefPct,priceTag,priceDropped,daysOnMarket,listingTitle,highlights,sellingPoint,compromise,metro,targetBuyer,aiSummary
"lshy-5","罗山花苑","浦东新区碧云明月路199弄","35 号","601 室","74.85","4室2厅2卫","4","2","2","6","6","高楼层","南","简装","2000","26","住宅","772","10.31","8.3","24.2","明显高于参考价","false","18","小区中间位置，采光好，户型方正，正规复式买一层送一层","顶层复式 / 买一层送一层 / 使用面积大 / 满二年","顶楼正规复式，产证 75㎡ 实用近 130㎡，楼下两房楼上两房，可做四房，挑高客厅，小区中间位置采光好。","顶楼无电梯，夏天略热；复式楼梯不适合老人长期居住。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 35 号601 室】，74.85㎡ 4室2厅2卫 南向，高楼层(6/6层)，2000年建简装，总价772万(10.31万/㎡，明显高于参考价)，亮点：顶层复式、买一层送一层，注意：顶楼无电梯，夏天略热；复式楼梯不适合老人长期居住；适合：刚需/上车盘"
"lshy-6","罗山花苑","浦东新区碧云明月路199弄","38 号","302 室","85.29","2室2厅1卫","2","2","1","3","6","中楼层","南北","精装","2001","25","住宅","680","7.97","8.3","-4","低于参考价","false","14","罗山花苑三楼 85 平大户型，自住装修干净清爽","自住精装 / 大两房 / 有钥匙随时看 / 户型方正","85㎡ 大两房，业主自住五年装修保养干净，三楼不潮湿不爬高，有钥匙随时看房，产权清晰。","单卫设计；装修风格偏老式，年轻买家可能需要局部翻新。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 38 号302 室】，85.29㎡ 2室2厅1卫 南北向，中楼层(3/6层)，2001年建精装，总价680万(7.97万/㎡，低于参考价)，亮点：自住精装、大两房，注意：单卫设计；装修风格偏老式，年轻买家可能需要局部翻新；适合：刚需/上车盘"
"lshy-7","罗山花苑","浦东新区碧云明月路199弄","42 号","202 室","69.52","2室1厅1卫","2","1","1","2","6","低楼层","南北","简装","1999","27","住宅","540","7.77","8.3","-6.4","低于参考价","false","31","罗山花苑小两房，户型方正，满五年","户型方正 / 低楼层方便 / 满五年税费少 / 近地铁","69㎡ 紧凑两房，南北通透，二楼出行方便，总价低适合首套上车，满五年税费少。","客厅较小，简装需重装；低楼层采光略受绿化影响。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 42 号202 室】，69.52㎡ 2室1厅1卫 南北向，低楼层(2/6层)，1999年建简装，总价540万(7.77万/㎡，低于参考价)，亮点：户型方正、低楼层方便，注意：客厅较小，简装需重装；低楼层采光略受绿化影响；适合：刚需/上车盘"
"lshy-8","罗山花苑","浦东新区碧云明月路199弄","46 号","101 室","75","2室2厅1卫","2","2","1","1","6","低楼层","南","简装","1998","28","住宅","478","6.38","8.3","-23.1","明显低于参考价","true","42","国际社区，虽紧贴内环线但被绿化包围，远离喧嚣","一楼带院 / 总价低 / 被绿化包围 / 满五年","一楼房源带小院子，窗外就是小区绿化，虽近内环但非常安静，总价 478 万为小区低位，适合养老或带娃家庭。","一楼采光一般，梅雨季略潮湿；装修老旧需要翻新。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 46 号101 室】，75㎡ 2室2厅1卫 南向，低楼层(1/6层)，1998年建简装，总价478万(6.38万/㎡，明显低于参考价)，亮点：一楼带院、总价低，注意：一楼采光一般，梅雨季略潮湿；装修老旧需要翻新；适合：刚需/上车盘"
"lshy-9","罗山花苑","浦东新区碧云明月路199弄","50 号","602 室","75","3室2厅2卫","3","2","2","6","6","高楼层","南","简装","2002","24","住宅","550","7.31","8.3","-11.9","明显低于参考价","false","6","电梯复式户型！买一层享两层，挑高空间随心改造","已加装电梯 / 顶层复式 / 挑高客厅 / 满五年","加装电梯直达顶楼复式，75㎡ 产证上下两层实用 120㎡，挑高客厅可按创意改造，三房两卫适合三代同堂。","顶层复式保温隔热不如平层；改造需要额外预算。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 50 号602 室】，75㎡ 3室2厅2卫 南向，高楼层(6/6层)，2002年建简装，总价550万(7.31万/㎡，明显低于参考价)，亮点：已加装电梯、顶层复式，注意：顶层复式保温隔热不如平层；改造需要额外预算；适合：刚需/上车盘"
"smhb-1","世茂湖滨花园","浦东新区碧云明月路188弄","1 号楼","1801 室","168.88","2室2厅2卫","2","2","2","18","28","中楼层","南北","精装","2004","22","住宅","1330","7.88","8.8","-10.5","明显低于参考价","true","30","碧云社区好房，客厅可打羽毛球，总价低，带产权车位","大客厅大开间 / 带产权车位 / 南北通透 / 满五年","169㎡ 大两房（可改三房），客厅 60㎡ 开间阔绰可打羽毛球，南北通透，附赠产权车位，世茂湖滨总价门槛最低的一套。","原始户型仅两房，改三房需自行隔断；楼层中段视野一般。","9 号线蓝天路站 1009m","高端改善（大平层两房）","【世茂湖滨花园 1 号楼1801 室】，168.88㎡ 2室2厅2卫 南北向，中楼层(18/28层)，2004年建精装，总价1330万(7.88万/㎡，明显低于参考价)，亮点：大客厅大开间、带产权车位，注意：原始户型仅两房，改三房需自行隔断；楼层中段视野一般；适合：高端改善（大平层两房）"
"smhb-10","世茂湖滨花园","浦东新区碧云明月路188弄","2 号楼","1601 室","166","3室2厅2卫","3","2","2","16","30","中楼层","南","豪装","2004","22","住宅","1374","8.28","8.8","-5.9","低于参考价","false","6","钥匙房送产权双车位，全新婚装，中央空调加地暖，移民诚售","全新婚装 / 产权双车位 / 中央空调地暖 / 移民诚售","166㎡ 三房（原始两房已改三房），全新婚装未住，中央空调+全屋地暖，送产权双车位，移民诚售配合度高。","改造三房的小房间面积约 9㎡，适合儿童房/书房。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 2 号楼1601 室】，166㎡ 3室2厅2卫 南向，中楼层(16/30层)，2004年建豪装，总价1374万(8.28万/㎡，低于参考价)，亮点：全新婚装、产权双车位，注意：改造三房的小房间面积约 9㎡；适合儿童房/书房；适合：高端改善/豪宅"
"smhb-11","世茂湖滨花园","浦东新区碧云明月路188弄","3 号楼","1902 室","220","3室2厅2卫","3","2","2","19","30","中楼层","南","精装","2003","23","住宅","1805","8.21","8.8","-6.7","低于参考价","true","45","满五年税费少，看湖景与别墅，业主着急卖","看湖景 / 满五税费少 / 业主急售 / 价格可谈","220㎡ 三房，19 楼楼层适中，正看湖景与别墅群，满五年税费少，业主已看好新房急售，近三月已降价两次。","原始装修偏老，买家可能需要二次装修。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 3 号楼1902 室】，220㎡ 3室2厅2卫 南向，中楼层(19/30层)，2003年建精装，总价1805万(8.21万/㎡，低于参考价)，亮点：看湖景、满五税费少，注意：原始装修偏老，买家可能需要二次装修；适合：高端改善/豪宅"
"smhb-12","世茂湖滨花园","浦东新区碧云明月路188弄","4 号楼","2802 室","220","3室1厅2卫","3","1","2","28","30","高楼层","南","豪装","2004","22","住宅","1999","9.1","8.8","3.4","高于参考价","false","34","碧云·世茂湖滨花园公寓 3室，高区豪装满五","高区楼层 / 豪华装修 / 大平层 / 满五年","220㎡ 大平层三房，28 楼高区，豪装大理石地面全屋地暖，业主自住保养极佳，满五年产权清晰。","客厅为大方厅设计无独立餐厅隔断；总价高。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 4 号楼2802 室】，220㎡ 3室1厅2卫 南向，高楼层(28/30层)，2004年建豪装，总价1999万(9.1万/㎡，高于参考价)，亮点：高区楼层、豪华装修，注意：客厅为大方厅设计无独立餐厅隔断；总价高；适合：高端改善/豪宅"
"smhb-13","世茂湖滨花园","浦东新区碧云明月路188弄","5 号楼","2901 室","298","6室2厅4卫","6","2","4","29","30","高楼层","南北","精装","2003","23","住宅","1999","6.71","8.8","-23.8","明显低于参考价","false","12","出国急卖，少有复式 6 房 4 卫，满五，买进价高税费少","顶层复式 / 6房4卫 / 满五年 / 买进价高税费少","298㎡ 顶层复式，上下两层 6 房 4 卫，适合多代同堂或做家庭会所，业主出国急卖，买进价高增值税几乎为零。","复式楼梯+顶层，日常动线长；装修为早年风格。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 5 号楼2901 室】，298㎡ 6室2厅4卫 南北向，高楼层(29/30层)，2003年建精装，总价1999万(6.71万/㎡，明显低于参考价)，亮点：顶层复式、6房4卫，注意：复式楼梯+顶层，日常动线长；装修为早年风格；适合：高端改善/豪宅"
"smhb-14","世茂湖滨花园","浦东新区碧云明月路188弄","6 号楼","1201 室","206","3室2厅2卫","3","2","2","12","30","中楼层","南","豪装","2003","23","住宅","1395","6.76","8.8","-23.2","明显低于参考价","true","3","高区豪华装修 100 多万，业主诚意出售，拎包可入住","百万豪装 / 三房两卫 / 拎包入住 / 满五年","206㎡ 三房，业主 2019 年豪装花费 100 多万，全屋地暖中央空调进口家电，因工作调动诚意出售，单价小区低位。","12 楼前方楼栋对视野略有遮挡；装修风格偏厚重。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 6 号楼1201 室】，206㎡ 3室2厅2卫 南向，中楼层(12/30层)，2003年建豪装，总价1395万(6.76万/㎡，明显低于参考价)，亮点：百万豪装、三房两卫，注意：12 楼前方楼栋对视野略有遮挡；装修风格偏厚重；适合：高端改善/豪宅"
"smhb-15","世茂湖滨花园","浦东新区碧云明月路188弄","7 号楼","602 室","296","3室2厅3卫","3","2","3","6","30","低楼层","南","精装","2003","23","住宅","2048","6.93","8.8","-21.3","明显低于参考价","true","22","业主诚心卖，临河位置精装修，看中可以谈","临河位置 / 大平层三房 / 价格可谈 / 满二年","296㎡ 临河大平层，低层出行方便不用等电梯，临河景观无遮挡，精装修保养好，业主诚心卖价格空间大。","低楼层采光不如高区；满二不唯一有增值税。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 7 号楼602 室】，296㎡ 3室2厅3卫 南向，低楼层(6/30层)，2003年建精装，总价2048万(6.93万/㎡，明显低于参考价)，亮点：临河位置、大平层三房，注意：低楼层采光不如高区；满二不唯一有增值税；适合：高端改善/豪宅"
"smhb-2","世茂湖滨花园","浦东新区碧云明月路188弄","2 号楼","2902 室","165.98","2室2厅2卫","2","2","2","29","30","高楼层","南","豪装","2003","23","住宅","1399","8.43","8.8","-4.2","低于参考价","false","16","次顶楼，能改三房，我司价低于同行，有钥匙看房随时","次顶楼视野 / 南北通透可改三房 / 豪华装修 / 有钥匙","29 层次顶楼，南向正看小区湖景与别墅区，视野无遮挡，166㎡ 大两房可改三房，豪装保养好，有钥匙随时看。","原始为两房户型；报价在同面积中偏高。","9 号线蓝天路站 1009m","高端改善（大平层两房）","【世茂湖滨花园 2 号楼2902 室】，165.98㎡ 2室2厅2卫 南向，高楼层(29/30层)，2003年建豪装，总价1399万(8.43万/㎡，低于参考价)，亮点：次顶楼视野、南北通透可改三房，注意：原始为两房户型；报价在同面积中偏高；适合：高端改善（大平层两房）"
"smhb-3","世茂湖滨花园","浦东新区碧云明月路188弄","3 号楼","2401 室","207.1","3室2厅2卫","3","2","2","24","30","高楼层","南","精装","2004","22","住宅","1718","8.3","8.8","-5.7","低于参考价","false","10","一期新出高区带车位二次装修三房，有钥匙随时看房","高区景观 / 带产权车位 / 二次装修 / 满五年","207㎡ 三房，24 楼高区南向采光，业主二次装修保养新，带产权车位，有钥匙随时看房，碧云国际社区大三房。","总价 1700 万级，首付门槛高。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 3 号楼2401 室】，207.1㎡ 3室2厅2卫 南向，高楼层(24/30层)，2004年建精装，总价1718万(8.3万/㎡，低于参考价)，亮点：高区景观、带产权车位，注意：总价 1700 万级，首付门槛高；适合：高端改善/豪宅"
"smhb-4","世茂湖滨花园","浦东新区碧云明月路188弄","4 号楼","1502 室","135","2室2厅2卫","2","2","2","15","28","中楼层","南","精装","2004","22","住宅","976","7.19","8.8","-18.3","明显低于参考价","true","39","一期正看湖景，视野开阔，双产权车位，税费各付价","正看湖景 / 双产权车位 / 税费各付 / 满五年","一期 135㎡ 两房，客厅主卧正看小区中心湖景，中层视野开阔，带双产权车位，报价为税费各付价，到手清晰。","两房设计，改善家庭需注意房间数。","9 号线蓝天路站 1009m","改善型家庭","【世茂湖滨花园 4 号楼1502 室】，135㎡ 2室2厅2卫 南向，中楼层(15/28层)，2004年建精装，总价976万(7.19万/㎡，明显低于参考价)，亮点：正看湖景、双产权车位，注意：两房设计，改善家庭需注意房间数；适合：改善型家庭"
"smhb-5","世茂湖滨花园","浦东新区碧云明月路188弄","5 号楼","2601 室","211","3室2厅3卫","3","2","3","26","30","高楼层","南","精装","2004","22","住宅","1800","8.53","8.8","-3.1","低于参考价","false","18","世茂湖滨二期新上高区景观二次装修带车位三房，拎包入住","高区景观 / 二次装修 / 带车位 / 拎包入住","二期 211㎡ 三房三卫，26 层高区南向，二次装修 40 万带地暖中央空调，带车位，拎包即可入住。","总价高；二期临路栋座略有噪音（中高区影响小）。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 5 号楼2601 室】，211㎡ 3室2厅3卫 南向，高楼层(26/30层)，2004年建精装，总价1800万(8.53万/㎡，低于参考价)，亮点：高区景观、二次装修，注意：总价高；二期临路栋座略有噪音（中高区影响小）；适合：高端改善/豪宅"
"smhb-6","世茂湖滨花园","浦东新区碧云明月路188弄","6 号楼","2702 室","134","2室2厅2卫","2","2","2","27","29","高楼层","南","精装","2004","22","住宅","1120","8.31","8.8","-5.6","低于参考价","false","14","世茂湖滨高区景观双南户型小两房，移民出售看房方便","高区景观 / 双南户型 / 移民诚售 / 满五年","134㎡ 小两房，27 楼高区双南朝向，客厅主卧均看湖景，业主移民诚意出售，看房方便价格可谈。","两房面积大但房间数少，适合小家庭或养老。","9 号线蓝天路站 1009m","改善型家庭","【世茂湖滨花园 6 号楼2702 室】，134㎡ 2室2厅2卫 南向，高楼层(27/29层)，2004年建精装，总价1120万(8.31万/㎡，低于参考价)，亮点：高区景观、双南户型，注意：两房面积大但房间数少；适合小家庭或养老；适合：改善型家庭"
"smhb-7","世茂湖滨花园","浦东新区碧云明月路188弄","7 号楼","2801 室","166","2室2厅2卫","2","2","2","28","30","高楼层","南","精装","2003","23","住宅","1380","8.31","8.8","-5.6","低于参考价","false","4","次顶楼，能改三房，有钥匙看房随时，满五","次顶楼 / 可改三房 / 满五年 / 有钥匙","28 层次顶，南向 166㎡，户型可改三房，满五年税费少，有钥匙随时看房，业主诚意出售。","现状为两房；装修为 2003 年原始精装略老。","9 号线蓝天路站 1009m","高端改善（大平层两房）","【世茂湖滨花园 7 号楼2801 室】，166㎡ 2室2厅2卫 南向，高楼层(28/30层)，2003年建精装，总价1380万(8.31万/㎡，低于参考价)，亮点：次顶楼、可改三房，注意：现状为两房；装修为 2003 年原始精装略老；适合：高端改善（大平层两房）"
"smhb-8","世茂湖滨花园","浦东新区碧云明月路188弄","8 号楼","3001 室","296","3室2厅3卫","3","2","3","30","30","高楼层","南","豪装","2004","22","住宅","2950","9.98","8.8","13.4","明显高于参考价","false","24","业主诚心卖，临河位置顶层大平层，精装修","顶层大平层 / 临河景观 / 豪华装修 / 一梯一户","296㎡ 顶层大平层，一梯一户私密性极强，临河位置 270° 景观，豪装带地暖中央空调，碧云终极改善户型。","总价近 3000 万；顶层需关注防水维护。","9 号线蓝天路站 1009m","高端改善/豪宅","【世茂湖滨花园 8 号楼3001 室】，296㎡ 3室2厅3卫 南向，高楼层(30/30层)，2004年建豪装，总价2950万(9.98万/㎡，明显高于参考价)，亮点：顶层大平层、临河景观，注意：总价近 3000 万；顶层需关注防水维护；适合：高端改善/豪宅"
"smhb-9","世茂湖滨花园","浦东新区碧云明月路188弄","1 号楼","2502 室","141","2室2厅2卫","2","2","2","25","28","高楼层","南","豪装","2004","22","住宅","1124","7.99","8.8","-9.2","明显低于参考价","false","20","品质高区两房，附赠固定车位，俯看别墅区，送40万精装","高区俯看别墅区 / 送固定车位 / 40万豪装 / 满五年","25 楼高区，南向俯瞰别墅区成片绿化景观，141㎡ 两房豪装 40 万，附赠固定车位，景观与私密性兼备。","两房户型；高区风大时阳台略有风声。","9 号线蓝天路站 1009m","改善型家庭","【世茂湖滨花园 1 号楼2502 室】，141㎡ 2室2厅2卫 南向，高楼层(25/28层)，2004年建豪装，总价1124万(7.99万/㎡，明显低于参考价)，亮点：高区俯看别墅区、送固定车位，注意：两房户型；高区风大时阳台略有风声；适合：改善型家庭"
"tcyp-a-1503","汤臣一品","浦东新区花园石桥路 66 号","A 栋","1503 室","117","3室1厅2卫","3","1","2","15","32","中楼层","西南","精装修","2006","20","住宅","1450","12.4","20","-38","明显低于参考价","false","18","","中楼层性价比高 / 3 房 2 卫 / 精装修 / 西南向采光充足","15 层西南向，117 ㎡ 3 房 2 卫，精装修，价格在小区中属中位数，性价比突出","西南向夏季西晒明显，非正南朝向","2 号线陆家嘴站 800m","改善型家庭","【汤臣一品 A 栋1503 室】，117㎡ 3室1厅2卫 西南向，中楼层(15/32层)，2006年建精装修，总价1450万(12.4万/㎡，明显低于参考价)，亮点：中楼层性价比高、3 房 2 卫，注意：西南向夏季西晒明显，非正南朝向；适合：改善型家庭"
"tcyp-a-1801","汤臣一品","浦东新区花园石桥路 66 号","A 栋","1801 室","131","3室2厅2卫","3","2","2","18","32","中楼层","南","精装修","2006","20","住宅","1680","12.8","20","-36","明显低于参考价","true","16","","江景无遮挡 / 高楼层视野好 / 精装修可拎包入住 / 陆家嘴核心地段","陆家嘴一线江景，高层视野开阔，正对黄浦江湾景，装修保养极佳","总价较高，物业费约 8 元/㎡/月","2 号线陆家嘴站 800m","改善型家庭","【汤臣一品 A 栋1801 室】，131㎡ 3室2厅2卫 南向，中楼层(18/32层)，2006年建精装修，总价1680万(12.8万/㎡，明显低于参考价)，亮点：江景无遮挡、高楼层视野好，注意：总价较高，物业费约 8 元/㎡/月；适合：改善型家庭"
"tcyp-a-2305","汤臣一品","浦东新区花园石桥路 66 号","A 栋","2305 室","163","4室2厅3卫","4","2","3","23","32","高楼层","南","豪装","2006","20","住宅","2200","13.5","20","-32.5","明显低于参考价","true","21","","一线江景大平层 / 4 房大户型 / 豪装交付 / 私家电梯入户","23 层正南无遮挡江景，163 ㎡大平层，4 房适合改善型家庭，私家电梯入户","总价超 2000 万，适合高预算买家","2 号线陆家嘴站 800m","高端改善/豪宅","【汤臣一品 A 栋2305 室】，163㎡ 4室2厅3卫 南向，高楼层(23/32层)，2006年建豪装，总价2200万(13.5万/㎡，明显低于参考价)，亮点：一线江景大平层、4 房大户型，注意：总价超 2000 万；适合高预算买家，适合：高端改善/豪宅"
"tcyp-b-0802","汤臣一品","浦东新区花园石桥路 66 号","B 栋","0802 室","89","2室1厅1卫","2","1","1","8","32","低楼层","东南","简装","2006","20","住宅","980","11","20","-45","明显低于参考价","true","11","","低总价上车盘 / 2 房紧凑实用 / 东南采光好 / 可改精装","8 层东南向，89 ㎡ 2 房，低总价入主汤臣一品，适合首改刚需","低楼层景观一般，简装需翻新，1 卫不够大家庭使用","2 号线陆家嘴站 800m","刚需/上车盘","【汤臣一品 B 栋0802 室】，89㎡ 2室1厅1卫 东南向，低楼层(8/32层)，2006年建简装，总价980万(11万/㎡，明显低于参考价)，亮点：低总价上车盘、2 房紧凑实用，注意：低楼层景观一般，简装需翻新，1 卫不够大家庭使用；适合：刚需/上车盘"
